historicSpotId,name,areaName,yomigana,latitude,longitude,typeRegisterStamp,url,gpsMeter,worship_card_top_image_url,worshipUrl,img,proverbs,shrineImage
koudai_spot_01,"神社検索ｼｽﾃﾑ研究部会
　部会長：新田均",活動拠点,"　皇學館大学
現代日本社会学部",34.48450734048243,136.72693322889572,sample,https://jinja-net.jp/jinja-all/index.html,20,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,https://digitalpamph.nta.co.jp/library/f-pub/index.php,参拝画像.png,人間のやったことは、人間がまだやれることの100分の1にすぎない。(豊田佐吉 ),https://jinja-net.jp/stamp-toyohasi/image/参拝画像.png
koudai_spot_02,"　　神社史研究会　　
　会長：白山芳太郎",活動団体,"皇學館大学神道学科
　式内社研究部会",34.48450734048243,136.72693322889572,sample,https://www.jinja-net.jp/jinja-shi/,20,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,https://digitalpamph.nta.co.jp/library/f-pub/index.php,参拝画像.png,進まざる者は必ず退き、退かざる者は必ず進む。(福澤諭吉),https://jinja-net.jp/stamp-toyohasi/image/参拝画像.png
toyohasi_spot_01,豊橋駅,　　　出発地点,　神社までは徒歩で。,34.49108925241859,136.70943966111875,gps,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,豊橋駅.png,1-75　宇治間山朝風寒し旅にして衣貸すべき妹もあらなくに / 長屋王,https://jinja-net.jp/stamp-toyohasi/image/豊橋駅.png
toyohasi_spot_02,吉田神社,豊橋駅,hutaminouraeki,34.77030240065999,137.38989139322553,gps,http://toyohashi-yoshida.com/,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,吉田神社.png,3-243　王は千歳にいまさむ白雲も三船の山に絶ゆる日あらめや / 春日王 (1),https://jinja-net.jp/stamp-toyohasi/image/吉田神社.png
toyohasi_spot_03,安久美神戸神明社,豊橋駅,misiodonojinja,34.76810789772779,137.39459062290263,gps,https://toyohashi-shinmeisha.jp/,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,安久美神戸神明社.png,3-247　沖つ波辺波立つともわが背子が御船の泊り波立ためやも / 石川大夫 (1),https://jinja-net.jp/stamp-toyohasi/image/安久美神戸神明社.png
toyohasi_spot_04,吉田城,豊橋駅,三重交通,34.770381718950446,137.39320660320323,gps,https://www.city.toyohashi.lg.jp/48101.htm,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,吉田城.png,2-142　家にあれば笥に盛る飯を草枕旅にしあれば椎の葉に盛る / 有間皇子,https://jinja-net.jp/stamp-toyohasi/image/吉田城.png
toyohasi_spot_05,蒲郡駅,,JR,34.822621566572415,137.2259525549916,gps,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,蒲郡駅.png,1-83　海の底奥つ白波竜田山いつか越えなむ妹があたり見む / 長田王,https://jinja-net.jp/stamp-toyohasi/image/蒲郡駅.png
toyohasi_spot_06,八百富神社,蒲郡駅,ejinja,34.81105882613909,137.2317734747365,gps,https://yaotomi.net/,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,竹島神社.png,1-33　楽浪の国つ御神のうらさびて荒れたる都見れば悲しも / 高市連黒人,https://jinja-net.jp/stamp-toyohasi/image/竹島神社.png
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
